image,obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
D:\Yannick\taak_Noor\humanstim\humanstim\638\e9\w_background\loc6\image018.png,638,e9,w_background,6,cellulartelephone,ppn18,mailbox,0
D:\Yannick\taak_Noor\humanstim\humanstim\651\e1\a_background\loc3\image062.png,651,e1,a_background,3,pirateship,ppn18,microphone,0
D:\Yannick\taak_Noor\humanstim\humanstim\651\e2\t_background\loc2\image048.png,651,e2,t_background,2,pirateship,ppn18,microphone,0
D:\Yannick\taak_Noor\humanstim\humanstim\651\e3\w_background\loc9\image002.png,651,e3,w_background,9,microphone,ppn18,microphone,1
D:\Yannick\taak_Noor\humanstim\humanstim\651\e4\a_background\loc6\image066.png,651,e4,a_background,6,pirateship,ppn18,microphone,0
D:\Yannick\taak_Noor\humanstim\humanstim\651\e5\t_background\loc5\image007.png,651,e5,t_background,5,loudspeaker,ppn18,microphone,0
D:\Yannick\taak_Noor\humanstim\humanstim\651\e6\w_background\loc4\image002.png,651,e6,w_background,4,tablelamp,ppn18,microphone,0
D:\Yannick\taak_Noor\humanstim\humanstim\651\e7\a_background\loc7\image122.png,651,e7,a_background,7,remote,ppn18,microphone,0
D:\Yannick\taak_Noor\humanstim\humanstim\651\e8\t_background\loc1\image002.png,651,e8,t_background,1,pirateship,ppn18,microphone,0
D:\Yannick\taak_Noor\humanstim\humanstim\651\e9\w_background\loc8\image002.png,651,e9,w_background,8,wallclock,ppn18,microphone,0
D:\Yannick\taak_Noor\humanstim\humanstim\652\e1\a_background\loc3\image112.png,652,e1,a_background,3,pirateship,ppn18,microwave,0
D:\Yannick\taak_Noor\humanstim\humanstim\652\e2\t_background\loc8\image038.png,652,e2,t_background,8,pirateship,ppn18,microwave,0
D:\Yannick\taak_Noor\humanstim\humanstim\652\e3\w_background\loc4\image038.png,652,e3,w_background,4,microwave,ppn18,microwave,1
D:\Yannick\taak_Noor\humanstim\humanstim\652\e4\a_background\loc2\image137.png,652,e4,a_background,2,microwave,ppn18,microwave,1
D:\Yannick\taak_Noor\humanstim\humanstim\652\e5\t_background\loc5\image076.png,652,e5,t_background,5,microwave,ppn18,microwave,1
D:\Yannick\taak_Noor\humanstim\humanstim\652\e6\w_background\loc6\image038.png,652,e6,w_background,6,parkbench,ppn18,microwave,0
D:\Yannick\taak_Noor\humanstim\humanstim\652\e7\a_background\loc7\image167.png,652,e7,a_background,7,microwave,ppn18,microwave,1
D:\Yannick\taak_Noor\humanstim\humanstim\652\e8\t_background\loc9\image046.png,652,e8,t_background,9,pirateship,ppn18,microwave,0
D:\Yannick\taak_Noor\humanstim\humanstim\652\e9\w_background\loc1\image038.png,652,e9,w_background,1,screen,ppn18,microwave,0
D:\Yannick\taak_Noor\humanstim\humanstim\704\e1\a_background\loc4\image058.png,704,e1,a_background,4,microwave,ppn18,parkbench,0
D:\Yannick\taak_Noor\humanstim\humanstim\704\e2\t_background\loc5\image012.png,704,e2,t_background,5,parkbench,ppn18,parkbench,1
D:\Yannick\taak_Noor\humanstim\humanstim\704\e3\w_background\loc3\image004.png,704,e3,w_background,3,parkbench,ppn18,parkbench,1
D:\Yannick\taak_Noor\humanstim\humanstim\704\e4\a_background\loc2\image092.png,704,e4,a_background,2,screen,ppn18,parkbench,0
D:\Yannick\taak_Noor\humanstim\humanstim\704\e5\t_background\loc6\image013.png,704,e5,t_background,6,pirateship,ppn18,parkbench,0
D:\Yannick\taak_Noor\humanstim\humanstim\704\e6\w_background\loc8\image004.png,704,e6,w_background,8,parkbench,ppn18,parkbench,1
D:\Yannick\taak_Noor\humanstim\humanstim\704\e7\a_background\loc1\image090.png,704,e7,a_background,1,pirateship,ppn18,parkbench,0
D:\Yannick\taak_Noor\humanstim\humanstim\704\e8\t_background\loc9\image004.png,704,e8,t_background,9,parkbench,ppn18,parkbench,1
D:\Yannick\taak_Noor\humanstim\humanstim\704\e9\w_background\loc7\image004.png,704,e9,w_background,7,bathtub,ppn18,parkbench,0
D:\Yannick\taak_Noor\humanstim\humanstim\725\e1\a_background\loc8\image056.png,725,e1,a_background,8,grandpiano,ppn18,pirateship,0
D:\Yannick\taak_Noor\humanstim\humanstim\725\e2\t_background\loc5\image009.png,725,e2,t_background,5,pirateship,ppn18,pirateship,1
D:\Yannick\taak_Noor\humanstim\humanstim\725\e3\w_background\loc7\image003.png,725,e3,w_background,7,bathtub,ppn18,pirateship,0
D:\Yannick\taak_Noor\humanstim\humanstim\725\e4\a_background\loc9\image045.png,725,e4,a_background,9,wallclock,ppn18,pirateship,0
D:\Yannick\taak_Noor\humanstim\humanstim\725\e5\t_background\loc2\image015.png,725,e5,t_background,2,pirateship,ppn18,pirateship,1
D:\Yannick\taak_Noor\humanstim\humanstim\725\e6\w_background\loc1\image003.png,725,e6,w_background,1,acousticguitar,ppn18,pirateship,0
D:\Yannick\taak_Noor\humanstim\humanstim\725\e7\a_background\loc6\image046.png,725,e7,a_background,6,pirateship,ppn18,pirateship,1
D:\Yannick\taak_Noor\humanstim\humanstim\725\e8\t_background\loc3\image003.png,725,e8,t_background,3,pirateship,ppn18,pirateship,1
D:\Yannick\taak_Noor\humanstim\humanstim\725\e9\w_background\loc4\image003.png,725,e9,w_background,4,pirateship,ppn18,pirateship,1
D:\Yannick\taak_Noor\humanstim\humanstim\743\e1\a_background\loc4\image158.png,743,e1,a_background,4,dishwasher,ppn18,printer,0
D:\Yannick\taak_Noor\humanstim\humanstim\743\e2\t_background\loc7\image025.png,743,e2,t_background,7,wallclock,ppn18,printer,0
D:\Yannick\taak_Noor\humanstim\humanstim\743\e3\w_background\loc9\image021.png,743,e3,w_background,9,remote,ppn18,printer,0
D:\Yannick\taak_Noor\humanstim\humanstim\743\e4\a_background\loc2\image144.png,743,e4,a_background,2,pirateship,ppn18,printer,0
D:\Yannick\taak_Noor\humanstim\humanstim\743\e5\t_background\loc6\image048.png,743,e5,t_background,6,pirateship,ppn18,printer,0
D:\Yannick\taak_Noor\humanstim\humanstim\743\e6\w_background\loc8\image021.png,743,e6,w_background,8,microwave,ppn18,printer,0
D:\Yannick\taak_Noor\humanstim\humanstim\743\e7\a_background\loc5\image126.png,743,e7,a_background,5,printer,ppn18,printer,1
D:\Yannick\taak_Noor\humanstim\humanstim\743\e8\t_background\loc1\image021.png,743,e8,t_background,1,pirateship,ppn18,printer,0
